Season,ELO_last_pregame,SOS_mean,O_mean_mean,games
2001,1500.0,,,1.0
2003,1491.1056167599518,1.007619508232112,1511.4292623481676,2.0
2004,1496.5736927498972,0.9980446680501917,1497.0670020752873,3.0
2005,1526.918955298223,1.0012465129414485,1501.869769412173,4.0
2006,1538.1933727960472,1.0017687434334062,1502.653115150109,5.0
2007,1517.2153118412662,0.982375067836262,1473.562601754393,3.0
2008,1520.8072411993282,1.0161750060460708,1524.262509069106,5.0
2009,1499.1645437312588,1.0200550217189617,1530.0825325784424,44.0
2010,1500.1334286544973,0.9859921209173496,1478.9881813760244,5.0
2011,1536.1653234684072,1.0094950597114514,1514.2425895671772,39.0
2012,1520.080497773498,1.0016058459604689,1502.408768940703,3.0
2013,1511.4292623481676,1.0057138251012216,1508.5707376518324,2.0
2014,1490.4427711721123,0.995054015124588,1492.581022686882,6.0
2015,1577.23081607497,1.0184038666350963,1527.6057999526447,44.0
2016,1498.5800758195685,1.0197797947875566,1529.669692181335,5.0
2017,1492.4882640441324,1.0043477546180908,1506.5216319271362,6.0
2018,1459.678776678499,1.0101470646073158,1515.2205969109737,5.0
2019,1511.4292623481676,1.0057138251012216,1508.5707376518324,2.0
2020,1428.5686385179308,1.0012762943132445,1501.9144414698665,22.0
2021,1452.6612636235795,1.0031339339448544,1504.7009009172818,8.0
2022,1463.5848389109776,1.0070774845025,1510.61622675375,11.0
2023,1492.1428849066813,1.0085718255667329,1512.8577383500997,4.0
2024,1448.5567740763809,0.99776143271638,1496.6421490745695,9.0
2025,1488.4828510831296,0.9859548956370487,1478.9323434555731,6.0
