iter,episode,step,year,phase,i_expansion,macro,cap_growth,n_star_fa,bidding_intensity
0,0,1,2025,offseason,0,1,0,3,5.0
0,0,2,2025,regular,0,0,0,4,5.096987209566307
0,0,3,2025,trade_deadline,0,0,0,4,5.111123270936176
0,0,4,2025,playoff,0,1,0,3,5.94017993008792
0,0,5,2026,offseason,1,1,0,1,8.162273429684788
0,0,6,2026,regular,1,1,1,0,7.646624445621291
0,0,7,2026,trade_deadline,1,1,0,0,7.241955373258378
0,0,8,2026,playoff,1,1,0,0,6.90309464968546
1,0,1,2025,offseason,0,1,0,3,5.0
1,0,2,2025,regular,0,1,0,1,4.407262013348806
1,0,3,2025,trade_deadline,0,0,0,1,4.633604999942002
1,0,4,2025,playoff,0,1,0,0,4.302166714030179
1,0,5,2026,offseason,1,1,0,1,6.067416039421818
1,0,6,2026,regular,1,1,1,0,5.9393072632078265
1,0,7,2026,trade_deadline,1,1,0,1,6.62898481606842
1,0,8,2026,playoff,1,0,0,2,6.790626019506733
