iter,team,a_roster_mean,a_salary_mean,a_ticket_mean,a_marketing_mean,a_debt_mean,a_equity_mean,leverage_mean,cash_flow_mean,win_pct_mean,debt_mean
0,ATL,3.0,2.0,2.0,1.0,2.0,0.0,0.1912925304796663,5.048198776647373,0.3555063976237862,33.5
0,CHI,3.0,2.0,2.0,1.0,2.0,0.0,0.19359714792998708,32.24841372900683,0.325528115834523,74.70659525563902
0,CON,3.0,2.0,2.0,1.0,2.0,0.0,0.20323656722997907,22.585325102200553,0.24346973076650766,64.41148588459127
0,DAL,3.0,2.0,2.0,1.0,2.0,0.0,0.2025628726343827,11.675405807918379,0.21775300510754342,47.87535329762782
0,GSV,3.0,2.0,2.0,1.0,2.0,0.0,0.19337456120024235,26.1414073313566,0.33686996120113416,67.0
0,IND,3.0,2.0,2.0,1.0,2.0,0.0,0.1906678145921244,9.184288001105084,0.31795925035630923,41.95411804814745
0,LAS,3.0,2.0,2.0,1.0,2.0,0.0,0.1871499972039593,27.399473828619346,0.379423470275753,67.60936554894478
0,LVA,3.0,2.0,2.0,1.0,2.0,0.0,0.2054522394278106,51.145564286417766,0.2198827453378993,98.52564088464626
0,MIN,3.0,2.0,2.0,1.0,2.0,0.0,0.19864572588803267,35.73583321688629,0.2721382809327011,80.225516611862
0,NYL,3.0,2.0,2.0,1.0,2.0,0.0,0.1866227032900679,38.90308638859544,0.39556966537792715,80.225516611862
0,PHO,3.0,2.0,2.0,1.0,2.0,0.0,0.18939494722124656,53.63710681210133,0.38872963062069243,94.87386862277162
0,SEA,3.0,2.0,2.0,1.0,2.0,0.0,0.19376358754281484,49.02980778126774,0.3404613643252211,92.10925007423374
0,WAS,3.0,2.0,2.0,1.0,2.0,0.0,0.19928045818804638,10.847929879726799,0.29111686781292406,45.29641808443951
1,ATL,0.0,1.0,3.0,1.0,0.0,1.0,0.0,7.48157730110926,0.3809986720418831,0.0
1,CHI,0.0,1.0,3.0,1.0,0.0,1.0,0.0,38.65160878470689,0.35067597374096526,0.0
1,CON,0.0,1.0,3.0,1.0,0.0,1.0,0.0,27.59441682017583,0.2536486877002226,0.0
1,DAL,0.0,1.0,3.0,1.0,0.0,1.0,0.0,15.758142101002546,0.28680916198390594,0.0
1,GSV,0.0,1.0,3.0,1.0,0.0,1.0,0.0,31.184612199278142,0.3323997359246259,0.0
1,IND,0.0,1.0,3.0,1.0,0.0,1.0,0.0,11.938652985007097,0.2872537320424816,0.0
1,LAS,0.0,1.0,3.0,1.0,0.0,1.0,0.0,31.282908293685487,0.30927854266324595,0.0
1,LVA,0.0,1.0,3.0,1.0,0.0,1.0,0.0,59.9946118981619,0.24166592458222624,0.0
1,MIN,0.0,1.0,3.0,1.0,0.0,1.0,0.0,42.84800289157197,0.3031470840674454,0.0
1,NYL,0.0,1.0,3.0,1.0,0.0,1.0,0.0,44.6585071252099,0.37106352646880536,0.0
1,PHO,0.0,1.0,3.0,1.0,0.0,1.0,0.0,58.9498548873996,0.32060983945975746,0.0
1,SEA,0.0,1.0,3.0,1.0,0.0,1.0,0.0,54.31839887665046,0.2772782977676257,0.0
1,WAS,0.0,1.0,3.0,1.0,0.0,1.0,0.0,14.042955538252913,0.28563248585246753,0.0
