site,policy,policy_type,debt_penalty,fatigue_on,seed,terminal_mean,cf_cum_mean,win_pct_mean,debt_mean,a_roster_mean,a_salary_mean,a_ticket_mean,a_marketing_mean,a_debt_mean,a_equity_mean
Columbus,ppo,linear,0.0,True,0,302.78052677079745,143.23465960630432,0.14655996261524318,229.064090094884,0.0,3.0,6.0,3.0,0.5,0.0
Columbus,baseline,linear,0.0,True,0,474.1345093629154,203.3649515769381,0.1996844391396484,67.0,3.0,2.0,2.0,1.0,2.0,0.0
Columbus,ppo,linear,4.0,True,0,302.78052677079745,143.23465960630432,0.14655996261524318,229.064090094884,0.0,3.0,6.0,3.0,0.5,0.0
Columbus,baseline,linear,4.0,True,0,474.1345093629154,203.3649515769381,0.1996844391396484,67.0,3.0,2.0,2.0,1.0,2.0,0.0
Columbus,ppo,mlp,0.0,True,0,470.17615391874847,186.7585935577993,0.13004449233626925,27.350779219785398,3.0,5.0,1.0,0.0,1.0,0.0
Columbus,baseline,mlp,0.0,True,0,474.1345093629154,203.3649515769381,0.1996844391396484,67.0,3.0,2.0,2.0,1.0,2.0,0.0
Columbus,ppo,mlp,4.0,True,0,435.7998131582798,182.8525218490509,0.14308953585032486,67.20060163662521,3.0,5.0,1.0,0.0,1.0,0.0
Columbus,baseline,mlp,4.0,True,0,474.1345093629154,203.3649515769381,0.1996844391396484,67.0,3.0,2.0,2.0,1.0,2.0,0.0
Portland,ppo,linear,0.0,True,0,308.93972295166543,159.3944077301169,0.1354020154968151,188.4873090812907,0.0,4.0,4.0,1.0,0.0,0.0
Portland,baseline,linear,0.0,True,0,460.1352036166784,203.64996417374192,0.18627907891916207,67.0,3.0,2.0,2.0,1.0,2.0,0.0
Portland,ppo,linear,4.0,True,0,308.93972295166543,159.3944077301169,0.1354020154968151,188.4873090812907,0.0,4.0,4.0,1.0,0.0,0.0
Portland,baseline,linear,4.0,True,0,460.1352036166784,203.64996417374192,0.18627907891916207,67.0,3.0,2.0,2.0,1.0,2.0,0.0
Portland,ppo,mlp,0.0,True,0,452.3004421401596,180.42256529999142,0.10985780337173534,28.317757054276502,4.5,5.0,0.5,0.0,1.0,0.0
Portland,baseline,mlp,0.0,True,0,460.1352036166784,203.64996417374192,0.18627907891916207,67.0,3.0,2.0,2.0,1.0,2.0,0.0
Portland,ppo,mlp,4.0,True,0,452.3004421401596,180.42256529999142,0.10985780337173534,28.317757054276502,4.5,5.0,0.5,0.0,1.0,0.0
Portland,baseline,mlp,4.0,True,0,460.1352036166784,203.64996417374192,0.18627907891916207,67.0,3.0,2.0,2.0,1.0,2.0,0.0
