Year,Phase,Macro_State,Win_Pct,Leverage,Action_Debt,Action_Roster,Cash_Flow,Franchise_Value
2024,Offseason,Normal,0.5,0.2,1,3,0.0,90.0
2024,Regular,Normal,0.5,0.1999999977777778,1,2,0.0,90.0
2024,TradeDeadline,Normal,0.7078860847015378,0.1999999977777778,1,3,0.0,90.0
2024,Playoff,Normal,0.7078860847015378,0.1999999977777778,1,2,14.547600000000001,94.5
2025,Offseason,Recession,0.7078860847015378,0.19047619047619047,0,2,14.547600000000001,94.5
2025,Regular,Recession,0.7078860847015378,0.13756613611041127,1,2,14.547600000000001,94.5
2025,TradeDeadline,Recession,0.697554853642831,0.13756613611041127,1,2,14.547600000000001,94.5
2025,Playoff,Recession,0.697554853642831,0.13756613611041127,1,2,13.47472,99.22500000000001
2026,Offseason,Recession,0.697554853642831,0.13101536911060718,2,0,13.47472,99.22500000000001
2026,Regular,Recession,0.697554853642831,0.231796419936544,1,2,13.47472,99.22500000000001
2026,TradeDeadline,Recession,0.6882567456899947,0.231796419936544,1,3,13.47472,99.22500000000001
2026,Playoff,Recession,0.6882567456899947,0.231796419936544,1,2,2.9841599999999993,143.87625
2027,Offseason,Recession,0.6882567456899947,0.15985960156731913,0,2,2.9841599999999993,143.87625
2027,Regular,Recession,0.6882567456899947,0.1251075134005264,1,2,2.9841599999999993,143.87625
2027,TradeDeadline,Recession,0.6642807349168327,0.1251075134005264,1,2,2.9841599999999993,143.87625
2027,Playoff,Recession,0.6642807349168327,0.1251075134005264,1,2,11.219759999999999,151.0700625
2028,Offseason,Recession,0.6642807349168327,0.11915001359054841,2,3,11.219759999999999,151.0700625
2028,Regular,Recession,0.6642807349168327,0.18534446435842003,1,2,11.219759999999999,151.0700625
2028,TradeDeadline,Recession,0.6315565102423915,0.18534446435842003,1,2,11.219759999999999,151.0700625
2028,Playoff,Recession,0.6315565102423915,0.18534446435842003,1,2,8.793999999999999,158.62356562500003
