Player (16),Pos,Age,Protection,2025,2026,2027,2028
Mitchell  Kelsey Mitchell,G,29,Protected,"$269,24417.9%",UFA,,
Howard  Natasha Howard,F,33,Protected,"$214,46614.2%",UFA,,
Cunningham  Sophie Cunningham,G,28,Unprotected,"$100,0006.6%",UFA,,
Dantas  Damiris Dantas,F,32,Protected,"$100,0006.6%",UFA,,
Colson  Sydney Colson,G,36,Unprotected,"$90,0006.0%",UFA,,
Hull  Lexie Hull,G,25,Club-exercised,"$88,2615.9%",RFA,,
Turner  Brianna Turner,F,29,Unprotected,"$85,0005.6%",UFA,,
Boston  Aliyah Boston,F,23,Unprotected,"$83,3715.5%","$94,7406.1%",RFA,
Clark  Caitlin Clark,G,23,Unprotected,"$78,0665.2%","$85,8735.5%","$97,5826.1%",RFA
Timpson  Makayla Timpson,F,22,Unprotected,"$69,2674.6%","$70,6534.6%","$77,7204.9%","$88,317"
McDonald  Aari McDonald,G,27,Unprotected,"$52,3333.5%",UFA,,
Bibby  Chloe Bibby,F,27,Unprotected,"$23,3221.5%",ERFA,,
Sims  Odyssey Sims,G,33,,"$7,9490.5%",UFA,,
Hall  Bree Hall,G,22,Unprotected,"$4,4420.3%",ERFA,,
Powers  Aerial Powers,F,31,Unprotected,"$3,9750.3%",,,
Peddy  Shey Peddy,G,36,Unprotected,"$1,9870.1%",,,
