Season,Team,GP,Total_Attendance,Avg_Attendance
2014,Phoenix Mercury,17,162464,9557
2014,Minnesota Lynx,17,158656,9333
2014,New York Liberty,17,152128,8949
2014,Washington Mystics,17,142413,8377
2014,Los Angeles Sparks,17,140901,8288
2014,Indiana Fever,17,134306,7900
2014,San Antonio Stars,17,131226,7719
2014,Seattle Storm,17,114181,6717
2014,Chicago Sky,17,113640,6685
2014,Connecticut Sun,17,101662,5980
2014,Atlanta Dream,17,99687,5864
2014,Tulsa Shock,17,94626,5566
2015,Phoenix Mercury,17,169077,9946
2015,Minnesota Lynx,17,159189,9364
2015,New York Liberty,17,155695,9159
2015,Los Angeles Sparks,17,154097,9065
2015,Washington Mystics,17,131136,7714
2015,Indiana Fever,17,127244,7485
2015,Chicago Sky,17,117201,6894
2015,Seattle Storm,17,110767,6516
2015,Atlanta Dream,17,104080,6122
2015,Connecticut Sun,17,94467,5557
2015,Tulsa Shock,17,87844,5167
2015,San Antonio Stars,17,82130,4831
2016,Phoenix Mercury,17,175965,10351
2016,New York Liberty,17,165300,9724
2016,Los Angeles Sparks,17,163839,9638
2016,Minnesota Lynx,17,157523,9266
2016,Indiana Fever,17,145771,8575
2016,Seattle Storm,17,122912,7230
2016,Chicago Sky,17,119147,7009
2016,Washington Mystics,17,117795,6929
2016,San Antonio Stars,17,108551,6385
2016,Connecticut Sun,17,99236,5837
2016,Atlanta Dream,17,95431,5614
2016,Dallas Wings,17,90060,5298
2017,Los Angeles Sparks,17,192957,11350
2017,Minnesota Lynx,17,176919,10407
2017,Phoenix Mercury,17,168516,9913
2017,New York Liberty,17,168107,9889
2017,Washington Mystics,17,132112,7771
2017,Seattle Storm,17,130975,7704
2017,Indiana Fever,17,128141,7538
2017,Connecticut Sun,17,114370,6728
2017,Chicago Sky,17,111919,6583
2017,San Antonio Stars,17,108554,6386
2017,Atlanta Dream,17,75684,4452
2017,Dallas Wings,17,65824,3872
2018,Los Angeles Sparks,17,180910,10642
2018,Minnesota Lynx,17,170620,10036
2018,Phoenix Mercury,17,169149,9950
2018,Seattle Storm,17,137846,8109
2018,Connecticut Sun,17,113711,6689
2018,Chicago Sky,17,108091,6358
2018,Indiana Fever,17,107295,6311
2018,Washington Mystics,16,98176,6136
2018,Las Vegas Aces,17,90219,5307
2018,Dallas Wings,17,80782,4752
2018,Atlanta Dream,17,71305,4194
2018,New York Liberty,17,47988,2823
2019,Los Angeles Sparks,17,192224,11307
2019,Minnesota Lynx,17,173273,10193
2019,Phoenix Mercury,17,154170,9069
2019,Seattle Storm,17,128548,7562
2019,Connecticut Sun,17,116300,6841
2019,Chicago Sky,17,114727,6749
2019,Indiana Fever,17,100078,5887
2019,Washington Mystics,17,84988,4999
2019,Las Vegas Aces,17,79373,4669
2019,Dallas Wings,17,77288,4546
2019,Atlanta Dream,17,72596,4270
2019,New York Liberty,17,38067,2239
2021,Phoenix Mercury,16,93585,5849
2021,Chicago Sky,15,47805,3187
2021,Las Vegas Aces,16,50036,3127
2021,Connecticut Sun,16,46890,2931
2021,Minnesota Lynx,16,43139,2696
2021,Seattle Storm,16,41715,2607
2021,Washington Mystics,16,33802,2113
2021,Dallas Wings,16,33617,2101
2021,New York Liberty,16,28113,1757
2021,Atlanta Dream,16,21549,1347
2021,Los Angeles Sparks,16,18319,1145
2022,Seattle Storm,18,191367,10632
2022,Phoenix Mercury,18,143530,7974
2022,Minnesota Lynx,18,133988,7444
2022,Chicago Sky,18,129241,7180
2022,Connecticut Sun,18,102821,5712
2022,Los Angeles Sparks,18,101747,5653
2022,Las Vegas Aces,18,100922,5607
2022,New York Liberty,18,95882,5327
2022,Washington Mystics,18,71686,3983
2022,Dallas Wings,18,68181,3788
2022,Atlanta Dream,18,48279,2682
2022,Indiana Fever,18,31964,1776
2023,Las Vegas Aces,20,191024,9551
2023,Phoenix Mercury,20,183935,9197
2023,Seattle Storm,20,178581,8929
2023,Minnesota Lynx,20,155539,7777
2023,New York Liberty,20,155535,7777
2023,Chicago Sky,20,144834,7242
2023,Los Angeles Sparks,20,131070,6554
2023,Connecticut Sun,20,124882,6244
2023,Dallas Wings,20,92811,4641
2023,Washington Mystics,20,87813,4391
2023,Indiana Fever,20,81336,4067
2023,Atlanta Dream,20,60128,3006
